0,481,462
1,247,134
2,997,797
3,420,1434
4,342,580
5,406,1197
6,747,380
7,867,686
8,549,666
9,627,319
10,564,1696
11,377,810
12,146,254
13,689,1221
14,668,1720
15,753,1839
16,92,1388
17,451,705
18,565,664
19,1049,27
20,905,733
21,794,1531
22,312,1265
23,911,835
24,610,2052
25,1093,1215
26,621,1627
27,744,977
28,503,1684
29,576,1518
30,386,242
31,964,228
32,73,1576
33,756,687
34,595,696
35,210,1193
36,604,1625
37,437,807
38,415,1340
39,359,491
40,423,1233
41,791,791
42,364,216
43,115,1651
44,45,1271
45,518,1107
46,976,959
47,132,164
48,921,46
49,800,1648
50,494,999
51,1266,1576
52,369,1129
53,426,1261
54,1088,37
55,475,1021
56,615,1328
57,387,343
58,212,1161
59,788,2000
60,1131,1165
61,628,1856
62,795,1292
63,1027,1067
64,1178,160
65,674,2045
66,378,846
67,538,703
68,101,219
69,748,1527
70,934,727
71,899,865
72,723,844
73,859,1817
74,1336,1661
75,1362,1741
76,972,1029
77,953,946
78,1359,1678
79,673,1895
80,162,1440
81,912,701
82,167,1321
83,282,252
84,857,1925
85,939,932
86,236,1011
87,302,1406
88,1224,1502
89,169,245
90,525,729
91,375,209
92,708,1889
93,625,1011
94,828,349
95,701,1873
96,1361,1686
97,123,1314
98,941,217
99,282,650
