0,569,1833
1,289,139
2,730,1131
3,365,1217
4,1091,179
5,543,752
6,378,995
7,689,1295
8,1024,850
9,443,297
10,159,1267
11,869,110
12,441,1622
13,371,531
14,949,196
15,645,656
16,623,764
17,362,424
18,782,1157
19,544,373
20,444,1332
21,600,1635
22,226,143
23,61,1310
24,1227,1318
25,89,1107
26,714,570
27,1048,1020
28,602,1218
29,1168,1341
30,880,688
31,554,1371
32,496,1261
33,367,1050
34,365,456
35,466,559
36,611,1069
37,627,1320
38,349,314
39,443,1401
40,949,92
41,1335,1682
42,661,801
43,344,808
44,1007,1073
45,432,1210
46,1018,198
47,762,1254
48,448,717
49,337,1229
50,1362,1716
51,224,1010
52,940,637
53,659,427
54,610,1734
55,289,456
56,336,1256
57,352,1392
58,996,224
59,624,773
60,423,1086
61,587,904
62,315,1396
63,137,1515
64,777,1869
65,1236,152
66,1288,1578
67,1012,1074
68,915,977
69,1106,1128
70,369,1059
71,65,1217
72,350,424
73,590,1275
74,724,457
75,1036,1104
76,72,1228
77,183,1356
78,736,1867
79,882,96
80,933,764
81,505,1326
82,701,528
83,515,1399
84,563,1096
85,894,1836
86,879,1786
87,532,685
88,899,948
89,828,1845
90,64,1308
91,1219,111
92,915,702
93,681,441
94,327,722
95,729,604
96,950,234
97,1071,160
98,823,689
99,673,1461
100,384,201
101,180,134
102,843,676
103,633,1139
104,787,1320
105,131,1617
106,93,1536
107,897,870
108,1246,1531
109,662,1476
110,342,590
111,1032,1124
112,777,1292
113,494,829
114,1073,34
115,245,1114
116,559,1803
117,617,770
118,695,793
119,988,122
120,332,736
121,212,1139
122,995,204
123,365,813
124,611,1296
125,229,1152
126,488,991
127,913,981
128,731,2024
129,663,1462
130,586,305
131,186,1002
132,1199,1292
133,913,582
134,603,1517
135,603,285
136,365,846
137,1147,1185
138,652,1183
139,630,1962
140,348,1273
141,526,1226
142,718,1868
143,1072,1041
144,1345,1531
145,721,1874
146,942,972
147,784,1138
148,997,122
149,823,848
150,653,1391
151,567,637
152,264,1024
153,518,471
154,939,1016
155,798,1195
156,603,1195
157,902,914
158,295,750
159,451,678
160,1212,96
161,835,1666
162,608,1726
163,82,1481
164,691,519
165,31,1279
166,765,848
167,896,895
168,375,650
169,306,146
170,350,1294
171,530,1557
172,573,336
173,534,1560
174,399,1012
175,537,1610
176,638,359
177,1008,889
178,428,814
179,366,564
180,932,996
181,796,1396
182,1068,147
183,1374,1551
184,589,2010
185,731,1850
186,907,235
187,65,1128
188,1228,1483
189,625,1471
190,772,1293
191,715,852
192,1365,1526
193,663,688
194,680,1114
195,588,952
196,808,1833
197,602,712
198,100,1384
199,601,2034
200,1047,214
201,1049,899
202,350,830
203,897,749
204,792,1277
205,759,1274
206,558,1212
207,378,379
208,294,436
209,503,1315
210,224,272
211,1319,1492
212,467,319
213,1046,856
214,799,1374
215,674,1269
216,123,1464
